----------Profiling Report for CoOpI----------
Vector Size: 10110; Interval: 4.661449670791626; Reduction: 0
Vector Size: 10210; Interval: 4.2322096824646; Reduction: 0
Vector Size: 10310; Interval: 4.274983882904053; Reduction: 0
Vector Size: 10410; Interval: 4.659378290176392; Reduction: 0
Vector Size: 10510; Interval: 4.663773059844971; Reduction: 0
Vector Size: 10610; Interval: 4.350591659545898; Reduction: 0
Vector Size: 10710; Interval: 4.1168577671051025; Reduction: 0
Vector Size: 10810; Interval: 9.737306356430054; Reduction: 0
Vector Size: 10910; Interval: 8.898609638214111; Reduction: 0
Vector Size: 11010; Interval: 4.160052299499512; Reduction: 0
Vector Size: 11110; Interval: 4.838940382003784; Reduction: 0
Vector Size: 11210; Interval: 4.274965047836304; Reduction: 0
Vector Size: 11310; Interval: 4.029240131378174; Reduction: 0
Vector Size: 11410; Interval: 3.934828281402588; Reduction: 0
Vector Size: 11510; Interval: 4.002060174942017; Reduction: 0
Vector Size: 11610; Interval: 3.9760725498199463; Reduction: 0
Vector Size: 11710; Interval: 5.158503770828247; Reduction: 0
Vector Size: 11810; Interval: 4.992088794708252; Reduction: 0
Vector Size: 11910; Interval: 4.815921306610107; Reduction: 0
Vector Size: 12010; Interval: 4.887794494628906; Reduction: 0
Vector Size: 12110; Interval: 4.718405723571777; Reduction: 0
Vector Size: 12210; Interval: 4.776679515838623; Reduction: 0
Vector Size: 12310; Interval: 4.807235240936279; Reduction: 0
Vector Size: 12410; Interval: 4.830422401428223; Reduction: 0
Vector Size: 12510; Interval: 4.18326473236084; Reduction: 0
Vector Size: 12610; Interval: 4.184819936752319; Reduction: 0
Vector Size: 12710; Interval: 4.295589923858643; Reduction: 0
Vector Size: 12810; Interval: 4.269897699356079; Reduction: 0
Vector Size: 12910; Interval: 5.648597002029419; Reduction: 0
Vector Size: 13010; Interval: 4.568984508514404; Reduction: 0
Vector Size: 13110; Interval: 4.375288963317871; Reduction: 0
Vector Size: 13210; Interval: 4.495242118835449; Reduction: 0
Vector Size: 13310; Interval: 4.604869365692139; Reduction: 0
Vector Size: 13410; Interval: 4.566380262374878; Reduction: 0
Vector Size: 13510; Interval: 6.12507176399231; Reduction: 0
Vector Size: 13610; Interval: 5.905282735824585; Reduction: 0
Vector Size: 13710; Interval: 5.966104745864868; Reduction: 0
Vector Size: 13810; Interval: 5.647257089614868; Reduction: 0
Vector Size: 13910; Interval: 5.847446918487549; Reduction: 0
Vector Size: 14010; Interval: 5.681975364685059; Reduction: 0
Vector Size: 14110; Interval: 5.726213455200195; Reduction: 0
Vector Size: 14210; Interval: 5.724114418029785; Reduction: 0
Vector Size: 14310; Interval: 5.7540669441223145; Reduction: 0
Vector Size: 14410; Interval: 5.255452394485474; Reduction: 0
Vector Size: 14510; Interval: 5.119287729263306; Reduction: 0
Vector Size: 14610; Interval: 6.360530138015747; Reduction: 0
Vector Size: 14710; Interval: 6.372014760971069; Reduction: 0
Vector Size: 14810; Interval: 6.122212171554565; Reduction: 0
Vector Size: 14910; Interval: 6.089643716812134; Reduction: 0
Vector Size: 15010; Interval: 6.079508543014526; Reduction: 0
Vector Size: 15110; Interval: 6.099715232849121; Reduction: 0
Vector Size: 15210; Interval: 6.184483289718628; Reduction: 0
Vector Size: 15310; Interval: 6.181709289550781; Reduction: 0
Vector Size: 15410; Interval: 6.050349712371826; Reduction: 0
Vector Size: 15510; Interval: 6.0765275955200195; Reduction: 0
Vector Size: 15610; Interval: 5.542950630187988; Reduction: 0
Vector Size: 15710; Interval: 5.390886068344116; Reduction: 0
Vector Size: 15810; Interval: 6.795670986175537; Reduction: 0
Vector Size: 15910; Interval: 6.245988607406616; Reduction: 0
Vector Size: 16010; Interval: 6.219885587692261; Reduction: 0
Vector Size: 16110; Interval: 6.3129777908325195; Reduction: 0
Vector Size: 16210; Interval: 6.39056134223938; Reduction: 0
Vector Size: 16310; Interval: 6.415462017059326; Reduction: 0
Vector Size: 16410; Interval: 6.3996782302856445; Reduction: 0
Vector Size: 16510; Interval: 5.825247526168823; Reduction: 0
Vector Size: 16610; Interval: 5.856132507324219; Reduction: 0
Vector Size: 16710; Interval: 5.738050937652588; Reduction: 0
Vector Size: 16810; Interval: 5.7850096225738525; Reduction: 0
Vector Size: 16910; Interval: 5.848085165023804; Reduction: 0
Vector Size: 17010; Interval: 5.852583169937134; Reduction: 0
Vector Size: 17110; Interval: 5.862107276916504; Reduction: 0
Vector Size: 17210; Interval: 5.928616285324097; Reduction: 0
Vector Size: 17310; Interval: 5.592032432556152; Reduction: 0
Vector Size: 17410; Interval: 5.621432304382324; Reduction: 0
Vector Size: 17510; Interval: 5.570234298706055; Reduction: 0
Vector Size: 17610; Interval: 5.57941746711731; Reduction: 0
Vector Size: 17710; Interval: 5.615116357803345; Reduction: 0
Vector Size: 17810; Interval: 5.65083646774292; Reduction: 0
Vector Size: 17910; Interval: 5.665033578872681; Reduction: 0
Vector Size: 18010; Interval: 5.6720850467681885; Reduction: 0
Vector Size: 18110; Interval: 5.716760635375977; Reduction: 0
Vector Size: 18210; Interval: 5.755861043930054; Reduction: 0
Vector Size: 18310; Interval: 5.770314693450928; Reduction: 0
Vector Size: 18410; Interval: 5.798950433731079; Reduction: 0
Vector Size: 18510; Interval: 5.828888416290283; Reduction: 0
Vector Size: 18610; Interval: 5.844564914703369; Reduction: 0
Vector Size: 18710; Interval: 5.880615472793579; Reduction: 0
Vector Size: 18810; Interval: 5.891992092132568; Reduction: 0
Vector Size: 18910; Interval: 5.995708227157593; Reduction: 0
Vector Size: 19010; Interval: 5.986827373504639; Reduction: 0
Vector Size: 19110; Interval: 5.993868827819824; Reduction: 0
Vector Size: 19210; Interval: 6.037903547286987; Reduction: 0
Vector Size: 19310; Interval: 6.0417091846466064; Reduction: 0
Vector Size: 19410; Interval: 6.087863206863403; Reduction: 0
Vector Size: 19510; Interval: 6.111346244812012; Reduction: 0
Vector Size: 19610; Interval: 6.226094722747803; Reduction: 0
Vector Size: 19710; Interval: 6.225898027420044; Reduction: 0
Vector Size: 19810; Interval: 6.193605899810791; Reduction: 0
Vector Size: 19910; Interval: 6.230669260025024; Reduction: 0
Vector Size: 20010; Interval: 6.273352146148682; Reduction: 0


Total Time:  8645.133763313293

