---------Profiling Report for CoOpI----------
Vector Size: 10010; Interval: 3.438546657562256; Reduction: 0
Vector Size: 10110; Interval: 3.5597338676452637; Reduction: 0
Vector Size: 10210; Interval: 3.445415735244751; Reduction: 0
Vector Size: 10310; Interval: 3.5120155811309814; Reduction: 0
Vector Size: 10410; Interval: 3.547264575958252; Reduction: 0
Vector Size: 10510; Interval: 3.573045015335083; Reduction: 0
Vector Size: 10610; Interval: 3.8693363666534424; Reduction: 0
Vector Size: 10710; Interval: 3.5929994583129883; Reduction: 0
Vector Size: 10810; Interval: 3.7613236904144287; Reduction: 0
Vector Size: 10910; Interval: 3.5159780979156494; Reduction: 0
Vector Size: 11010; Interval: 3.808903932571411; Reduction: 0
Vector Size: 11110; Interval: 3.8238375186920166; Reduction: 0
Vector Size: 11210; Interval: 3.8341150283813477; Reduction: 0
Vector Size: 11310; Interval: 3.9562394618988037; Reduction: 0
Vector Size: 11410; Interval: 3.9467928409576416; Reduction: 0
Vector Size: 11510; Interval: 4.250351905822754; Reduction: 0
Vector Size: 11610; Interval: 3.9645872116088867; Reduction: 0
Vector Size: 11710; Interval: 4.063839673995972; Reduction: 0
Vector Size: 11810; Interval: 4.190229415893555; Reduction: 0
Vector Size: 11910; Interval: 4.186837673187256; Reduction: 0
Vector Size: 12010; Interval: 4.10018515586853; Reduction: 0
Vector Size: 12110; Interval: 4.247292518615723; Reduction: 0
Vector Size: 12210; Interval: 4.137067556381226; Reduction: 0
Vector Size: 12310; Interval: 4.179785966873169; Reduction: 0
Vector Size: 12410; Interval: 4.243253946304321; Reduction: 0
Vector Size: 12510; Interval: 4.376810073852539; Reduction: 0
Vector Size: 12610; Interval: 4.532905340194702; Reduction: 0
Vector Size: 12710; Interval: 4.8989880084991455; Reduction: 0
Vector Size: 12810; Interval: 4.679499626159668; Reduction: 0
Vector Size: 12910; Interval: 4.737280607223511; Reduction: 0
Vector Size: 13010; Interval: 4.823487281799316; Reduction: 0
Vector Size: 13110; Interval: 4.94829535484314; Reduction: 0
Vector Size: 13210; Interval: 4.944124460220337; Reduction: 0
Vector Size: 13310; Interval: 4.942341089248657; Reduction: 0
Vector Size: 13410; Interval: 5.286946058273315; Reduction: 0
Vector Size: 13510; Interval: 5.296502590179443; Reduction: 0
Vector Size: 13610; Interval: 5.5057055950164795; Reduction: 0
Vector Size: 13710; Interval: 5.367371082305908; Reduction: 0
Vector Size: 13810; Interval: 4.853775978088379; Reduction: 0
Vector Size: 13910; Interval: 4.96510648727417; Reduction: 0
Vector Size: 14010; Interval: 4.978579998016357; Reduction: 0
Vector Size: 14110; Interval: 4.812125205993652; Reduction: 0
Vector Size: 14210; Interval: 5.536364793777466; Reduction: 0
Vector Size: 14310; Interval: 6.051558971405029; Reduction: 0
Vector Size: 14410; Interval: 6.047936916351318; Reduction: 0
Vector Size: 14510; Interval: 5.633277416229248; Reduction: 0
Vector Size: 14610; Interval: 5.44024658203125; Reduction: 0
Vector Size: 14710; Interval: 5.022998571395874; Reduction: 0
Vector Size: 14810; Interval: 4.692618131637573; Reduction: 0
Vector Size: 14910; Interval: 4.567991018295288; Reduction: 0
Vector Size: 15010; Interval: 4.59338116645813; Reduction: 0
Vector Size: 15110; Interval: 4.649755954742432; Reduction: 0
Vector Size: 15210; Interval: 4.627496957778931; Reduction: 0
Vector Size: 15310; Interval: 4.672490835189819; Reduction: 0
Vector Size: 15410; Interval: 4.8639607429504395; Reduction: 0
Vector Size: 15510; Interval: 4.730372667312622; Reduction: 0
Vector Size: 15610; Interval: 4.828907489776611; Reduction: 0
Vector Size: 15710; Interval: 4.7946460247039795; Reduction: 0
Vector Size: 15810; Interval: 4.834208250045776; Reduction: 0
Vector Size: 15910; Interval: 4.894785165786743; Reduction: 0
Vector Size: 16010; Interval: 4.9443066120147705; Reduction: 0
Vector Size: 16110; Interval: 5.053283452987671; Reduction: 0
Vector Size: 16210; Interval: 5.190624952316284; Reduction: 0
Vector Size: 16310; Interval: 4.967211008071899; Reduction: 0
Vector Size: 16410; Interval: 5.0674028396606445; Reduction: 0
Vector Size: 16510; Interval: 5.110793352127075; Reduction: 0
Vector Size: 16610; Interval: 5.088957786560059; Reduction: 0
Vector Size: 16710; Interval: 5.143690824508667; Reduction: 0
Vector Size: 16810; Interval: 5.280088424682617; Reduction: 0
Vector Size: 16910; Interval: 5.157585144042969; Reduction: 0
Vector Size: 17010; Interval: 5.19110369682312; Reduction: 0
Vector Size: 17110; Interval: 5.366657495498657; Reduction: 0
Vector Size: 17210; Interval: 5.286158084869385; Reduction: 0
Vector Size: 17310; Interval: 5.268215656280518; Reduction: 0
Vector Size: 17410; Interval: 6.047918081283569; Reduction: 0
Vector Size: 17510; Interval: 5.360572576522827; Reduction: 0
Vector Size: 17610; Interval: 5.385462760925293; Reduction: 0
Vector Size: 17710; Interval: 5.41959285736084; Reduction: 0
Vector Size: 17810; Interval: 5.503882646560669; Reduction: 0
Vector Size: 17910; Interval: 5.371434211730957; Reduction: 0
Vector Size: 18010; Interval: 5.428282737731934; Reduction: 0
Vector Size: 18110; Interval: 5.605627059936523; Reduction: 0
Vector Size: 18210; Interval: 5.455925703048706; Reduction: 0
Vector Size: 18310; Interval: 5.60764741897583; Reduction: 0
Vector Size: 18410; Interval: 5.535218238830566; Reduction: 0
Vector Size: 18510; Interval: 5.581069707870483; Reduction: 0
Vector Size: 18610; Interval: 5.631192684173584; Reduction: 0
Vector Size: 18710; Interval: 5.647900581359863; Reduction: 0
Vector Size: 18810; Interval: 5.649945974349976; Reduction: 0
Vector Size: 18910; Interval: 5.709872245788574; Reduction: 0
Vector Size: 19010; Interval: 5.823559999465942; Reduction: 0
Vector Size: 19110; Interval: 5.94483208656311; Reduction: 0
Vector Size: 19210; Interval: 5.751665115356445; Reduction: 0
