----------Profiling Report for Stable1----------
Vector Size: 33; Interval: 0.002073526382446289; Reduction: 0.080535888671875
Vector Size: 63; Interval: 0.004363536834716797; Reduction: 0.13356876373291016
Vector Size: 93; Interval: 0.006319999694824219; Reduction: 0.1950850486755371
Vector Size: 123; Interval: 0.008530139923095703; Reduction: 0.261934757232666
Vector Size: 153; Interval: 0.010546445846557617; Reduction: 0.33840394020080566
Vector Size: 183; Interval: 0.012515068054199219; Reduction: 0.39428019523620605
Vector Size: 213; Interval: 0.015332937240600586; Reduction: 0.4500143527984619
Vector Size: 243; Interval: 0.016832590103149414; Reduction: 0.5217278003692627
Vector Size: 273; Interval: 0.02046990394592285; Reduction: 0.5956482887268066
Vector Size: 303; Interval: 0.021236658096313477; Reduction: 0.6502370834350586
Vector Size: 333; Interval: 0.023681163787841797; Reduction: 0.7311511039733887
Vector Size: 363; Interval: 0.025571107864379883; Reduction: 0.795626163482666
Vector Size: 393; Interval: 0.027750253677368164; Reduction: 0.8654699325561523
Vector Size: 423; Interval: 0.03154921531677246; Reduction: 0.9496142864227295
Vector Size: 453; Interval: 0.03302431106567383; Reduction: 1.0812404155731201
Vector Size: 483; Interval: 0.03865337371826172; Reduction: 1.156461477279663
Vector Size: 513; Interval: 0.03922629356384277; Reduction: 1.2456133365631104
Vector Size: 543; Interval: 0.042608022689819336; Reduction: 1.342695713043213
Vector Size: 573; Interval: 0.04293203353881836; Reduction: 1.3488759994506836
Vector Size: 603; Interval: 0.04731154441833496; Reduction: 1.5480971336364746
Vector Size: 633; Interval: 0.053090572357177734; Reduction: 1.6036043167114258
Vector Size: 663; Interval: 0.052663326263427734; Reduction: 1.7227745056152344
Vector Size: 693; Interval: 0.06169581413269043; Reduction: 1.875467300415039
Vector Size: 723; Interval: 0.06195878982543945; Reduction: 1.9163482189178467
Vector Size: 753; Interval: 0.06504034996032715; Reduction: 1.9980785846710205
Vector Size: 783; Interval: 0.05763602256774902; Reduction: 1.7647290229797363
Vector Size: 813; Interval: 0.05914902687072754; Reduction: 1.822279930114746
Vector Size: 843; Interval: 0.06182527542114258; Reduction: 1.9710693359375
Vector Size: 873; Interval: 0.06689238548278809; Reduction: 2.079211950302124
Vector Size: 903; Interval: 0.06858515739440918; Reduction: 0
Vector Size: 933; Interval: 0.06981635093688965; Reduction: 0
Vector Size: 963; Interval: 0.07333612442016602; Reduction: 0
Vector Size: 993; Interval: 0.07647442817687988; Reduction: 0
Vector Size: 1023; Interval: 0.0765829086303711; Reduction: 0
Vector Size: 1053; Interval: 0.07834863662719727; Reduction: 0
Vector Size: 1083; Interval: 0.08099865913391113; Reduction: 0
Vector Size: 1113; Interval: 0.08305954933166504; Reduction: 0
Vector Size: 1143; Interval: 0.07970738410949707; Reduction: 0
Vector Size: 1173; Interval: 0.08095455169677734; Reduction: 0
Vector Size: 1203; Interval: 0.08425116539001465; Reduction: 0
Vector Size: 1233; Interval: 0.08540582656860352; Reduction: 0
