Distances,Errors
90.0,15.328794
91.0,12.467068
92.0,11.249376
93.0,9.500557
94.0,6.938009
95.0,5.3190694
96.0,3.378272
97.0,2.4454095
98.0,1.6221182
99.0,1.6701669
100.0,0.93013763
101.0,0.0013748019
102.0,1.0286891
103.0,1.2937527
104.0,2.2157083
105.0,0.76392764
106.0,0.86798036
107.0,2.536189
108.0,4.702971
109.0,5.7774744
110.0,4.428919
111.0,0.48572436
112.0,1.8295016
113.0,1.4490583
114.0,1.8387576
115.0,4.481825
116.0,4.13014
117.0,3.5121493
118.0,3.1207845
119.0,3.7620225
120.0,3.6344972
121.0,4.0772243
122.0,4.2548385
123.0,3.785383
124.0,2.8526614
125.0,3.4208372
126.0,4.5932403
127.0,5.0741963
128.0,4.8513594
129.0,3.6124237
130.0,0.5502437
131.0,1.1631274
132.0,4.8340654
133.0,1.8131802
134.0,1.5261295
135.0,0.594279
136.0,1.0497935
137.0,0.87931836
138.0,3.0400596
139.0,3.279015
140.0,0.45398167
141.0,0.12407235
142.0,0.34426838
143.0,0.9634805
144.0,3.0622694
145.0,2.1746721
146.0,1.4646034
147.0,2.2888806
148.0,4.388943
149.0,6.1084313
150.0,4.4050193
151.0,3.0422287
152.0,2.0176637
153.0,1.8644545
154.0,2.4823475
155.0,1.5432247
156.0,1.2314918
157.0,4.17842
158.0,2.0243874
159.0,2.3186257
160.0,0.8538246
161.0,1.3952504
162.0,0.52610797
163.0,0.5464706
164.0,1.0326107
165.0,0.21267053
166.0,0.39933905
167.0,1.0804045
168.0,0.36719185
169.0,0.8258165
170.0,1.654708
171.0,1.021857
172.0,0.6211037
173.0,0.39127767
174.0,0.9264979
175.0,0.44904435
176.0,0.46384987
177.0,1.329963
178.0,2.764824
179.0,0.83600265
180.0,4.9297333
181.0,3.1128435
182.0,2.328818
183.0,2.2245896
184.0,1.3276142
185.0,0.44136667
186.0,0.29543805
187.0,0.038783435
188.0,1.3422703
189.0,0.6019794
190.0,0.75313365
191.0,0.5124157
192.0,0.036533676
193.0,0.14450786
194.0,0.07052077
195.0,0.5643952
196.0,0.765493
197.0,1.54752
198.0,0.27540573
199.0,0.46081543
200.0,5.1704483
201.0,0.36974853
202.0,0.28665373
203.0,0.108675644
204.0,0.1463273
205.0,0.11555741
206.0,0.75363606
207.0,0.26064518
208.0,0.8312959
209.0,1.883066
210.0,0.53753805
211.0,0.2756634
212.0,0.1742381
213.0,1.8093413
214.0,2.3362346
215.0,1.681767
216.0,1.6670511
217.0,0.5229405
218.0,0.94673085
219.0,0.2032415
220.0,0.88285965
221.0,0.39094257
222.0,0.02310813
223.0,0.49662912
224.0,0.13207708
225.0,0.028381348
226.0,0.28220657
227.0,1.2638445
228.0,0.19751431
229.0,0.6789761
230.0,0.4897673
231.0,0.65766704
232.0,1.2755033
233.0,0.29663607
234.0,0.3953787
235.0,0.27991113
236.0,0.40412512
237.0,0.25865257
238.0,0.53082633
239.0,0.7035387
240.0,0.4918798
241.0,0.08914045
242.0,0.18939184
243.0,0.24555346
244.0,0.62889975
245.0,0.49227345
246.0,0.98675984
247.0,0.2327861
248.0,1.1760097
249.0,0.925804
250.0,0.8433777
251.0,0.4151181
252.0,1.7577641
253.0,1.8969811
254.0,1.64694
255.0,0.6404742
256.0,0.11115074
257.0,1.0076145
258.0,0.4988323
259.0,0.22192995
260.0,0.7045218
261.0,0.22240417
262.0,0.45068172
263.0,0.10907423
264.0,0.8232348
265.0,1.7164122
266.0,0.62713623
267.0,0.57207316
268.0,0.94847035
269.0,1.4598521
270.0,1.8475907
271.0,0.86925554
272.0,0.8038801
273.0,1.0961399
274.0,0.504587
275.0,0.2134011
276.0,0.56863314
277.0,0.17468835
278.0,0.5044073
279.0,0.24237956
280.0,0.34041268
281.0,0.2378742
282.0,0.51365846
283.0,0.7668647
284.0,0.87888473
285.0,1.7892295
286.0,1.2100646
287.0,2.8455036
288.0,2.065828
289.0,2.2419121
290.0,2.1692212
291.0,2.0571156
292.0,2.1475387
293.0,1.7312112
294.0,0.20406295
295.0,0.6120895
296.0,0.67978936
297.0,0.2780696
298.0,0.19540468
299.0,0.8608305
300.0,0.40449017
301.0,0.007847377
302.0,0.40481263
303.0,0.6656458
304.0,0.895179
305.0,0.029326892
306.0,0.5332498
307.0,1.9571012
308.0,1.7596554
309.0,2.0700696
310.0,1.5975754
311.0,2.2490573
312.0,2.3682718
313.0,2.7158499
314.0,3.9697926
315.0,3.6090183
316.0,2.5885475
317.0,2.1655157
318.0,1.3024672
319.0,0.96127504
320.0,0.040750504
321.0,0.15428014
322.0,0.2718339
323.0,0.6807026
324.0,0.8912169
325.0,0.47688177
326.0,0.28708053
327.0,0.125934
328.0,0.099219345
329.0,0.236117
330.0,0.06273674
331.0,0.042530995
332.0,1.0756619
333.0,0.42241645
334.0,0.9358206
335.0,0.24231867
336.0,0.23259662
337.0,0.48225018
338.0,0.48279172
339.0,0.6064266
340.0,0.5560303
341.0,0.76638496
342.0,0.577969
343.0,0.41403365
344.0,0.0070350114
345.0,0.6232928
346.0,0.06047067
347.0,0.2690032
348.0,0.4491521
349.0,0.8439291
350.0,1.4849504
351.0,2.2655954
352.0,1.4023608
353.0,1.1608351
354.0,1.626268
355.0,1.3189095
356.0,1.4163414
357.0,1.4894031
358.0,1.8426139
359.0,1.3620191
360.0,1.0128106
361.0,0.52464026
362.0,0.14351693
363.0,0.22232434
364.0,0.3862318
365.0,0.72154427
366.0,0.7134276
367.0,0.7410283
368.0,0.9464264
369.0,1.2574152
370.0,1.151222
371.0,1.5910764
372.0,1.3568838
373.0,1.6379759
374.0,1.4675691
375.0,1.645459
376.0,2.2102194
377.0,1.9612846
378.0,1.2404912
379.0,1.584611
380.0,1.3585783
381.0,1.3941487
382.0,1.5431509
383.0,1.574452
384.0,1.2872617
385.0,1.1603338
386.0,1.6594211
387.0,1.5536759
388.0,1.4779003
389.0,0.5061838
390.0,1.0928814
391.0,1.2220768
392.0,0.6390941
393.0,0.698705
394.0,0.24893515
395.0,0.057604827
396.0,0.3920584
397.0,0.8028353
398.0,1.1691453
399.0,1.3645105
400.0,0.16743469
401.0,0.36643925
402.0,0.22151814
403.0,0.0028851605
404.0,0.27169707
405.0,0.53804374
