Distances,Errors
414.0,0.5309248
415.0,0.60713804
416.0,1.6575373
417.0,1.9959009
418.0,1.9613458
419.0,2.4770586
420.0,0.40985835
421.0,0.10271594
422.0,0.17581595
423.0,0.36209863
424.0,0.823442
425.0,0.83515483
426.0,0.735488
427.0,1.0057793
428.0,1.0014544
429.0,1.5111324
430.0,1.3740789
431.0,1.0871267
432.0,1.1904823
433.0,0.9858588
434.0,0.9789955
435.0,0.7350106
436.0,0.90343225
437.0,0.24704573
438.0,0.5141306
439.0,0.6449011
440.0,0.6953361
441.0,0.81729674
442.0,0.7378557
443.0,1.1876504
444.0,1.7066337
445.0,1.9745628
446.0,0.59265685
447.0,0.58896196
448.0,0.78579354
449.0,0.8539145
450.0,0.7612644
451.0,1.651698
452.0,0.8274112
453.0,0.7863295
454.0,0.7338671
455.0,0.61551607
456.0,0.8432756
457.0,0.8076073
458.0,0.8343693
459.0,0.7413046
460.0,0.8263032
461.0,0.9542536
462.0,1.1264355
463.0,1.0348886
464.0,1.1875745
465.0,1.2801697
466.0,1.2819216
467.0,1.3282074
468.0,1.1017237
469.0,0.95521325
470.0,0.8263576
471.0,0.966079
472.0,0.6660203
473.0,0.72575706
474.0,1.2491927
475.0,0.4474648
476.0,1.0503881
477.0,1.1445179
478.0,1.2953053
479.0,0.8818752
480.0,0.5700302
481.0,0.44103926
482.0,0.47998074
483.0,0.33950332
484.0,0.60975885
485.0,1.4538637
486.0,0.47689682
487.0,0.5248021
488.0,0.05545694
489.0,0.27545702
490.0,0.1396148
491.0,0.9427756
492.0,0.88041973
493.0,0.7185992
494.0,0.6531503
495.0,0.62307644
496.0,0.89021504
497.0,0.66539377
498.0,0.78297204
499.0,0.8935167
500.0,1.1055298
501.0,0.5620412
502.0,0.68420166
503.0,0.6929735
504.0,0.13321166
505.0,0.6109075
506.0,0.52544516
507.0,0.42830548
508.0,0.21693914
509.0,0.0076204017
510.0,0.17023423
511.0,0.10728332
512.0,0.07010698
513.0,0.02751936
514.0,0.93918145
515.0,0.3869155
516.0,1.0641526
517.0,0.8860251
518.0,0.75368994
519.0,0.5116369
520.0,0.08560181
521.0,0.13831902
522.0,0.33776295
523.0,0.3112793
524.0,0.245154
525.0,0.18286133
526.0,0.5336863
527.0,0.09278039
528.0,0.33813244
529.0,0.20614652
530.0,0.13537137
531.0,0.3943032
532.0,0.39521408
533.0,0.21080603
534.0,0.26429138
535.0,0.13157354
536.0,0.26919237
537.0,0.23483191
538.0,0.42774528
539.0,0.01934101
