Distances,Errors
90.0,15.953938
91.0,14.608924
92.0,15.207895
93.0,13.245762
94.0,12.564753
95.0,10.971086
96.0,10.577169
97.0,8.771948
98.0,8.601566
99.0,7.793666
100.0,7.958191
101.0,8.299171
102.0,7.3589325
103.0,7.872661
104.0,7.5666504
105.0,7.821895
106.0,8.125003
107.0,6.6063924
108.0,7.29308
109.0,8.540981
110.0,7.2939925
111.0,7.099406
112.0,7.247142
113.0,7.064374
114.0,7.60735
115.0,7.7472525
116.0,7.940621
117.0,7.824955
118.0,5.559941
119.0,4.6659966
120.0,4.92438
121.0,5.293936
122.0,4.210625
123.0,4.1710086
124.0,3.6590207
125.0,4.1377687
126.0,4.337456
127.0,3.419867
128.0,3.0088186
129.0,3.9852998
130.0,4.6903753
131.0,4.7224207
132.0,5.010212
133.0,4.1630106
134.0,3.723896
135.0,3.391961
136.0,2.806686
137.0,1.9479014
138.0,2.0341072
139.0,1.8237326
140.0,2.0225742
141.0,2.5443652
142.0,2.2708516
143.0,1.9560488
144.0,2.217685
145.0,2.1133318
146.0,2.4405074
147.0,2.0123644
148.0,1.7580702
149.0,1.4319196
150.0,2.8960776
151.0,2.0922024
152.0,4.9820046
153.0,4.2781157
154.0,3.4257271
155.0,3.4858851
156.0,2.6033254
157.0,2.8610423
158.0,2.8307467
159.0,3.5863335
160.0,2.547617
161.0,3.0171459
162.0,1.6406307
163.0,1.9876398
164.0,1.3648057
165.0,3.0332716
166.0,1.4557528
167.0,1.5298991
168.0,1.6420364
169.0,2.4555004
170.0,1.9000154
171.0,1.2060779
172.0,1.7030139
173.0,1.7913905
174.0,1.1911238
175.0,0.82056534
176.0,2.3432386
177.0,1.5373704
178.0,0.7015014
179.0,1.4900846
180.0,0.17573038
181.0,0.573486
182.0,0.63267803
183.0,0.8672913
184.0,1.4559871
185.0,1.6607666
186.0,0.8779792
187.0,1.5897129
188.0,1.1676869
189.0,1.232789
190.0,1.3256675
191.0,1.2342923
192.0,0.73832667
193.0,0.43867832
194.0,0.68762076
195.0,1.8404603
196.0,1.1680603
197.0,0.83725053
198.0,0.05523219
199.0,3.2422087
200.0,3.661926
201.0,2.7597
202.0,0.9127173
203.0,0.9531933
204.0,1.7558528
205.0,2.091511
206.0,1.3979125
207.0,1.3623297
208.0,1.1930172
209.0,1.5983545
210.0,1.42015
211.0,0.99279034
212.0,0.49267173
213.0,0.25454956
214.0,0.48409578
215.0,0.41408804
216.0,0.8415717
217.0,1.1260494
218.0,1.1670175
219.0,0.9535768
220.0,1.0252866
221.0,2.6052275
222.0,2.093987
223.0,2.1298738
224.0,2.7644975
225.0,3.0514119
226.0,2.6089017
227.0,3.5826159
228.0,1.0172794
229.0,0.21508229
230.0,0.53251845
231.0,0.24038206
232.0,0.30607027
233.0,0.4093612
234.0,1.9892895
235.0,1.4986663
236.0,1.2672424
237.0,1.7787434
238.0,1.660214
239.0,1.3757235
240.0,0.9263738
241.0,0.9102026
242.0,1.2802187
243.0,1.3922734
244.0,1.6642712
245.0,1.8279655
246.0,1.6602678
247.0,1.2320329
248.0,1.3438563
249.0,1.1755702
250.0,0.99554443
251.0,0.8886756
252.0,1.1946118
253.0,1.0596294
254.0,0.66778827
255.0,0.79118323
256.0,0.9287
257.0,0.53656316
258.0,0.9821811
259.0,1.0383753
260.0,0.8009808
261.0,0.78661686
262.0,0.54857093
263.0,0.086899675
264.0,0.07126548
265.0,0.29166743
266.0,0.12494998
267.0,0.28204188
268.0,0.39530513
269.0,0.27689314
270.0,0.29179326
271.0,0.7711488
272.0,0.8526073
273.0,0.72012544
274.0,0.80812556
275.0,0.42500445
276.0,0.5235534
277.0,0.0767126
278.0,0.27556935
279.0,0.20596632
280.0,0.10187421
281.0,1.2062806
282.0,0.76681364
283.0,0.53530854
284.0,0.003621276
285.0,1.0763603
286.0,0.5895761
287.0,1.599185
288.0,1.3531473
289.0,0.5593798
290.0,0.1689411
291.0,0.21499686
292.0,0.3510044
293.0,0.46573156
294.0,0.31396773
295.0,0.4728983
296.0,0.69064575
297.0,1.1225536
298.0,0.8656956
299.0,0.5239837
300.0,0.20607503
301.0,0.91386455
302.0,0.2374409
303.0,0.0010172527
304.0,0.19026305
305.0,0.045686316
306.0,0.48935834
307.0,0.61006325
308.0,0.37303776
309.0,0.15888892
310.0,0.077081494
311.0,0.22936265
312.0,0.2504789
313.0,0.24346788
314.0,1.1601831
315.0,0.14867389
316.0,0.5194169
317.0,0.10018816
318.0,0.06742657
319.0,0.25969598
320.0,0.12403488
321.0,0.76982254
322.0,2.1035993
323.0,0.43306616
324.0,0.5437121
325.0,0.3775165
326.0,0.49337378
327.0,0.17038515
328.0,0.17973737
329.0,0.32234538
330.0,0.35011986
331.0,0.3131417
332.0,0.4764603
333.0,0.31291974
334.0,0.71624935
335.0,0.92159444
336.0,0.63840777
337.0,0.8526992
338.0,0.917911
339.0,0.6731692
340.0,1.1062442
341.0,0.9983275
342.0,0.940575
343.0,0.7400913
344.0,0.9091311
345.0,0.5697499
346.0,1.0434542
347.0,1.2440618
348.0,0.87014556
349.0,0.644979
350.0,1.1673322
351.0,0.6979831
352.0,0.6255323
353.0,0.6565256
354.0,0.7530256
355.0,0.9544351
356.0,0.65096736
357.0,0.8278897
358.0,0.7804487
359.0,0.77736515
360.0,0.60950387
361.0,0.5449797
362.0,1.0905397
363.0,0.8374343
364.0,0.89133966
365.0,0.9168149
366.0,0.9072059
367.0,0.81153476
368.0,0.77979875
369.0,0.86711276
370.0,0.7707008
371.0,0.65195745
372.0,1.168249
373.0,1.0370904
374.0,1.1714181
375.0,1.3154215
376.0,1.0026891
377.0,0.5809025
378.0,0.77949804
379.0,0.88900363
380.0,0.8237337
381.0,1.0193672
382.0,1.0754331
383.0,0.82156825
384.0,0.8401235
385.0,0.8501326
386.0,0.9406055
387.0,0.8212462
388.0,0.94797194
389.0,0.8681662
390.0,0.048029974
391.0,0.41097268
392.0,0.2669899
393.0,1.3176061
394.0,1.7252192
395.0,1.6881552
396.0,1.1151015
397.0,0.5472793
398.0,0.65434134
399.0,0.8472949
400.0,0.6347809
401.0,1.023549
402.0,0.7231983
403.0,0.13763958
404.0,0.40370828
405.0,0.7095977
406.0,1.0478879
407.0,0.64587045
408.0,0.7461099
409.0,0.41982186
410.0,0.1571283
411.0,0.15693164
412.0,0.4640672
413.0,0.2027978
414.0,0.2003914
415.0,0.17853887
416.0,0.14553803
417.0,0.49951497
418.0,0.5365399
419.0,0.067648515
420.0,1.1109706
421.0,0.27420878
422.0,0.0072461166
423.0,0.27304935
424.0,0.10538641
425.0,0.21366613
426.0,0.43647298
427.0,0.30308887
428.0,0.020164419
429.0,0.0905995
430.0,0.3276736
431.0,0.68463457
432.0,0.7438377
433.0,0.5808066
434.0,0.8156561
435.0,0.9630015
436.0,0.8391844
437.0,0.7244538
438.0,0.6391621
439.0,0.05159487
440.0,0.94088465
441.0,0.86540514
442.0,1.3305941
443.0,1.6934295
444.0,1.650836
445.0,1.0560111
446.0,1.4025838
447.0,1.2156237
448.0,1.1805807
449.0,1.2639986
450.0,1.2809991
451.0,0.5385033
452.0,0.9538364
453.0,1.2173953
454.0,1.2369903
455.0,1.3146704
456.0,1.1663939
457.0,1.1302522
458.0,1.0556151
459.0,0.8609547
460.0,0.9629623
461.0,1.0524924
462.0,1.181136
463.0,1.0541879
464.0,0.9714915
465.0,1.101901
466.0,0.8979895
467.0,0.9650025
468.0,0.96933085
469.0,1.1890273
470.0,1.162077
471.0,0.85451806
472.0,1.206608
473.0,1.1687329
474.0,0.7640855
475.0,0.8822535
476.0,0.8991915
477.0,0.8252925
478.0,0.09395328
479.0,0.14852314
480.0,0.075925194
481.0,0.9763087
482.0,0.9002559
483.0,1.0274694
484.0,1.0318158
485.0,1.260678
486.0,1.3521422
487.0,1.0943528
488.0,1.469559
489.0,1.2236363
490.0,1.7910705
491.0,1.1903845
492.0,1.098577
493.0,1.1543629
494.0,0.6393124
495.0,1.0434854
496.0,1.0928246
497.0,1.1425978
498.0,1.266314
499.0,1.4520252
500.0,0.9335449
501.0,1.4460702
502.0,1.3489195
503.0,1.134987
504.0,1.1347816
505.0,1.5574782
506.0,1.5211626
507.0,1.455526
508.0,1.459431
509.0,1.4520432
510.0,0.6404323
511.0,0.66841257
512.0,1.2702763
513.0,1.0450932
514.0,1.6148312
515.0,0.9424895
516.0,1.1754532
517.0,1.379123
518.0,0.9113444
519.0,1.0611415
520.0,1.1690228
521.0,1.1652912
522.0,1.6055988
523.0,1.2352558
524.0,1.3597794
525.0,1.5253092
526.0,1.5267608
527.0,1.5131391
528.0,1.4869343
529.0,1.2618586
530.0,1.6641061
531.0,1.4174064
532.0,1.8489292
533.0,1.5897999
534.0,1.1913514
535.0,1.4395969
536.0,1.4293613
537.0,1.5447805
538.0,1.4151534
539.0,1.3425469
540.0,1.3886855
541.0,1.3669732
542.0,1.5144489
543.0,1.7242038
544.0,1.6672022
545.0,1.777355
546.0,1.505042
547.0,1.7736906
548.0,1.6715391
549.0,1.6156416
550.0,1.6332897
551.0,1.6952266
552.0,1.8638611
553.0,1.6332918
554.0,1.3312606
555.0,1.2083311
556.0,1.350359
557.0,1.4059453
558.0,1.1490579
559.0,1.517679
560.0,1.4880481
561.0,1.4307033
562.0,1.3909066
563.0,1.4489399
564.0,1.5722722
565.0,1.6638508
566.0,1.4825073
567.0,1.5164384
568.0,1.4864748
569.0,1.320419
570.0,2.546965
571.0,2.110705
572.0,1.5914811
573.0,1.8475437
574.0,1.6742346
575.0,1.6865554
576.0,1.4037344
577.0,1.0732985
578.0,1.235645
579.0,1.3623068
580.0,1.495656
581.0,1.7732866
582.0,1.8577864
583.0,1.2780217
584.0,1.2049217
585.0,1.2779197
586.0,1.147513
587.0,1.1598343
588.0,1.6039582
589.0,1.3348254
590.0,1.7129775
591.0,1.3444878
592.0,1.9919524
593.0,2.2282772
594.0,1.7548224
595.0,1.2010385
596.0,1.5771648
597.0,1.1987633
598.0,1.4511874
599.0,1.4966553
600.0,1.2313334
601.0,1.7094718
602.0,1.7047058
603.0,1.4281012
604.0,1.4052941
605.0,1.3554143
606.0,0.7178077
607.0,1.053133
608.0,1.1469992
609.0,1.6544236
610.0,1.8757105
611.0,1.9179324
612.0,1.6186783
613.0,1.6445043
614.0,1.4830847
615.0,1.5247872
616.0,1.6874833
